Двочас	Тема	Подетема
		https://docs.google.com/spreadsheets/d/1Ru7Te7xGvixNoCgwnmozexY-5BtGiAHIxtjs3HmNzNU
		https://github.com/MilosSubotic/LPRS2_2026
		
0	Git	https://github.com/MilosSubotic/LPRS2_Labs
		clone
		
	Install	https://github.com/MilosSubotic/install_everything
		install_arduino.sh
	Arduino IDE	
		Examples → Basic → Blink
		Ctrl+U
	Walk code	
		setup(), loop()
		pinMode
		digitalWrite
	Low lever	
		Arduino Nano Pinout.jpeg
		D13 is PB5
		ATmega328P datasheet
		Chapter: I/O Ports
		Subchapter: register description
		DDRB
		PORTB
		bitwise ops
		
1	Arch	Exper: plug out power from Ard and plug back, why still works?
		Volatile vs non-Volatile
		Flash
		Von Neuman vs Hardward
		uCtrl vs uProcessor
		SRAM vs DRAM: price vs speed&production process
		
	new shield	FW/test__Ard_Nano_2_LPRS1_MAX1000_Shield
		Try
		read code
		HW/Ard_Nano_2_LPRS1_MAX1000_Shield/Pins.tsv
		
	Time mux	Try
		How to all 4 7segm digits to work simultaniously: smaller delay
		segm_lookup
		set_segm(u8 num) using segm_lookup and led.n_segm_*
		test all numbers
		implement stopwatch with cnts
		pb: start, stop, reset
		
		
2	stopwatch	up: restart
		down: pause/play – need RE detect
		left hold: return 1 sec on every 1 sec -  need debouncing
		right hold: return 1 sec on every 1 sec
		
		
	Homework	https://www.youtube.com/watch?v=3ZoRgkgSlVE
		
		
3	Matrix	Snake
		Dr Mario
		Tetris (too hard)
		
4	PC as master	libserial
		write 7segm
		write RGB matrix
		read PB
		text update cmds
		binary update cmds
		binary state cmd
		
		
5	Pull up	Matrix keyboard
		time mux
		Rows outputs
		Column inputs
		Serial.println()
		
		
	Serial buses	
	Homework	https://www.youtube.com/watch?v=_QDJdiFO83s
		
		
6	SPI	7segm displays
		Bit-bang
		chain of displays
		
		
		
		Ard_Nano_HUB75_RGB_LED_Screen_Shield
		32x64 LED screen
		
		
		
		
	I2C	JetsonNano_Stepper_Shield
		PM steppers
		libserial
		joypad for jog
		
		
		
		
		
		
	bitfields	LED_Bar_PM_Stepper_Shield
		Theory: pins and ULN
		pulsing bars
		
	ADC	Pot analogRead() to uart
		Signal gen
		low level ADC
		IRQ
		
		
	PM	PM stepper driving
