Port pin	Ard pin	MAX1000 pin	Shield fun	New
				
				
PB3	D11	AIN0	i_pb_up	
PB4	D12	AIN1	i_pb_center	
PB2	D10	AIN2	i_pb_down	
PB5	D13	AIN3	i_pb_left	
PC0	A0	AIN4	i_pb_right	
				
				
PC1	A1	D0	o_n_col_0_or_7segm_a	
PC2	A2	D1	o_n_col_1_or_7segm_b	
PC3	A3	D2	o_n_col_2_or_7segm_c	
PC4	A4	D3	o_n_col_3_or_7segm_d	
PC5	A5	D4	o_n_col_4_or_7segm_e	
PD2	D2	D5	o_n_col_5_or_7segm_f	
PD3	D3	D6	o_n_col_6_or_7segm_g	
PD4	D4	D7	o_n_col_7_or_7segm_dp	
PD5	D5	D8	o_mux_row_or_digit_0	
PD6	D6	D9	o_mux_row_or_digit_1	
PD7	D7	D10	o_mux_row_or_digit_2	
PB0	D8	D11	o_mux_sel_color_or_7segm_0	
PB1	D9	D12	o_mux_sel_color_or_7segm_1	
